type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
small_airport,Oeventrop Airfield,51.3961,8.1445,718,DE,,
small_airport,Ottenberg Airfield,49.3287,11.4797,1828,DE,,
small_airport,Unterwössen Airfield,47.72974,12.4382,1836,DE,,
small_airport,Agathazell Airfield,47.553,10.2731,2383,DE,,
small_airport,Alte Ems Airfield,53.030765,7.305385,7,DE,,
small_airport,Am Salzgittersee Airfield,52.1702,10.31573,260,DE,,
small_airport,Große Höhe Airfield,52.9861,8.5722,70,DE,,
small_airport,Große Wiese Airfield,52.13704,10.5695,253,DE,,
small_airport,Großes Moor Airfield,52.5359,10.02,143,DE,,
small_airport,Hellenhagen Airfield,52.02624,9.5628,625,DE,,
small_airport,Hellingst Airfield,53.3751,8.8498,73,DE,,
small_airport,Rote Wiese Glider Field,52.2336,10.9809,360,DE,,
small_airport,Höpen Airfield,53.1473,9.796,275,DE,,
small_airport,Holtorfsloh Airfield,53.3222,10.0743,181,DE,,
small_airport,Hoya Airfield,52.8119,9.1638,55,DE,,
small_airport,Gronau Airfield,52.0578,9.8104,480,DE,,
small_airport,Aue bei Hattorf Airfield,51.6334,10.2544,618,DE,,
small_airport,Brockzetel Glider Field,53.4814,7.6511,34,DE,ETJA,
small_airport,Bad Zwischenahn - Rostrup Airfield,53.2102,7.9887,33,DE,,
small_airport,Berliner Heide Airfield,52.6697,10.3705,230,DE,,
small_airport,Bisperode Airfield,52.0788,9.476,635,DE,,
small_airport,Blexen Airfield,53.5383,8.5388,4,DE,EDWT,
small_airport,Segelfluggelände Farrenberg,48.38570626,9.076333,2641,DE,,
small_airport,Oppershausen Airfield,52.5955,10.2235,147,DE,,
small_airport,Peißenberg Airfield,47.8337,11.06685,1967,DE,,
small_airport,Quakenbrück Airfield,52.6634,7.9249,78,DE,,
small_airport,Scheuen Airfield,52.6693,10.088,190,DE,,
small_airport,Steinberg at Wessein Airfield,52.0838,10.018,642,DE,,
small_airport,Bohlenbergerfeld Airfield,53.418,7.9039,26,DE,,
small_airport,Bollrich Airfield,51.9058,10.4619,945,DE,,
small_airport,Bückeburg-Weinberg Airfield,52.2511,9.0146,256,DE,,
small_airport,Osterholz-Scharmbeck Airfield,53.2135,8.8102,3,DE,,
small_airport,Peine-Glindbruchkippe Airfield,52.3238,10.1815,235,DE,,
small_airport,Stüde Bernsteinsee Airfield,52.5638,10.6853,245,DE,,
small_airport,Sultmer Berg Airfield,51.73,9.9925,736,DE,,
small_airport,Tarmstedt Airfield,53.2514,9.1084,140,DE,,
small_airport,Walsrode Airfield,52.8882,9.6,194,DE,,
small_airport,Ummern Airfield,52.6204,10.4092,237,DE,,
small_airport,Uslar Airfield,51.6619,9.6044,850,DE,,
small_airport,Wenzendorf Airfield,53.3374,9.7797,229,DE,,
small_airport,Weper Airfield,51.7124,9.8026,1190,DE,,
small_airport,FSV Illtal Airfield,49.41,7.0547,1230,DE,,
